eBird species code 2019,English name,scientific name,range,eBird species group
y00954,Common/Nordmann's Greenshank,Tringa nebularia/guttifer,,Shorebirds
y00955,Black-headed/Brown-headed Gull,Chroicocephalus ridibundus/brunnicephalus,,"Gulls, Terns, and Skimmers"
y00956,Herring/Glaucous-winged Gull,Larus argentatus/glaucescens,,"Gulls, Terns, and Skimmers"
y00957,Lesser/Greater Roadrunner,Geococcyx velox/californianus,,Cuckoos
y00958,Yellow-billed/Pearly-breasted Cuckoo,Coccyzus americanus/euleri,,Cuckoos
y00959,Pacific/Cook's Swift,Apus pacificus/cooki,,Swifts
y00960,Little/House Swift,Apus affinis/nipalensis,,Swifts
y00961,woodhoopoe/scimitarbill sp.,Phoeniculus/Rhinopomastus sp.,,Woodhoopoes and Scimitarbills
y00962,White-barred/Ocellated Piculet,Picumnus cirratus/dorbignyanus,,Woodpeckers
y00963,Hoffmann's/Golden-fronted Woodpecker,Melanerpes hoffmannii/aurifrons,,Woodpeckers
y00964,Darjeeling/Crimson-breasted Woodpecker,Dendrocopos darjellensis/Dryobates cathpharius,,Woodpeckers
y00965,Nuttall's/Ladder-backed Woodpecker,Dryobates nuttallii/scalaris,,Woodpeckers
y00966,Undulated/Fulvous Antshrike,Frederickena unduliger/fulva,,Antbirds
y00967,Blackish/Riparian Antbird,Cercomacroides nigrescens/fuscicauda,,Antbirds
y00968,Duida/Inambari Woodcreeper,Lepidocolaptes duidae/fatimalimae,,Woodcreepers
y00969,Cryptic Treehunter/Alagoas Foliage-Gleaner,Cichlocolaptes mazarbarnetti/Philydor novaesi,,Ovenbirds
y00970,Yellow-chinned/Red-and-white Spinetail,Certhiaxis cinnamomeus/mustelinus,,Ovenbirds
y00971,White-winged/Hudson's Black-Tyrant,Knipolegus aterrimus/hudsoni,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
y00972,Venezuelan/Panama Flycatcher,Myiarchus venezuelensis/panamensis,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
y00973,Brown/Tasmanian Thornbill,Acanthiza pusilla/ewingii,,Thornbills and Allies
y00974,Ashy/Brown-rumped Minivet,Pericrocotus divaricatus/cantonensis,,Cuckooshrikes
y00975,Red-tailed/Isabelline/Brown Shrike,Lanius phoenicuroides/isabellinus/cristatus,,Shrikes
y00976,Japanese/Amur Paradise-Flycatcher,Terpsiphone atrocaudata/incei,,Monarch Flycatchers
y00977,Amur/Blyth's Paradise-Flycatcher,Terpsiphone incei/affinis,,Monarch Flycatchers
y00978,Blyth's/Indian Paradise-Flycatcher,Terpsiphone affinis/paradisi,,Monarch Flycatchers
y00979,Calandrella/Alaudala sp.,Calandrella/Alaudala sp.,,Larks
y00980,Thekla's/Crested Lark,Galerida theklae/cristata,,Larks
y00981,Eurasian Crag-Martin/Rock Martin,Ptyonoprogne rupestris/fuligula,,Martins and Swallows
y00982,Chestnut-bellied/Varied Tit,Sittiparus castaneoventris/varius,,"Tits, Chickadees, and Titmice"
y00983,Black-capped/Mountain Chickadee,Poecile atricapillus/gambeli,,"Tits, Chickadees, and Titmice"
y00984,Moustached/Coraya Wren,Pheugopedius genibarbis/coraya,,Wrens
y00985,Cabanis's/Canebrake Wren,Cantorchilus modestus/zeledoni,,Wrens
y00986,Cabanis's/Isthmian Wren,Cantorchilus modestus/elutus,,Wrens
y00987,Styan's/Light-vented Bulbul,Pycnonotus taivanus/sinensis,,Bulbuls
y00988,Dusky/Smoky Warbler,Phylloscopus fuscatus/fuligiventer,,Leaf Warblers
y00989,Tickell's/Alpine Leaf Warbler,Phylloscopus affinis/occisinensis,,Leaf Warblers
y00990,Radde's/Yellow-streaked/Dusky Warbler,Phylloscopus schwarzi/armandii/fuscatus,,Leaf Warblers
y00991,Lemon-rumped/Sichuan Leaf Warbler,Phylloscopus chloronotus/forresti,,Leaf Warblers
y00992,Limestone Leaf/Sulphur-breasted Warbler,Phylloscopus calciatilis/ricketti,,Leaf Warblers
y00993,Green-crowned/Whistler's Warbler,Phylloscopus burkii/whistleri,,Leaf Warblers
y00994,Gray-crowned/Whistler's Warbler,Phylloscopus tephrocephalus/whistleri,,Leaf Warblers
y00995,Bianchi's/Martens's/Alström's Warbler,Phylloscopus valentini/omeiensis/soror,,Leaf Warblers
y00996,Great/Oriental/Clamorous Reed Warbler,Acrocephalus arundinaceus/orientalis/stentoreus,,Reed Warblers and Allies
y00997,Gray's/Sakhalin Grasshopper-Warbler,Locustella fasciolata/amnicola,,Grassbirds and Allies
y00998,Chinese/Baikal Bush Warbler,Locustella tacsanowskia/davidi,,Grassbirds and Allies
y00999,Baikal/Spotted Bush Warbler,Locustella davidi/thoracica,,Grassbirds and Allies
y01000,Brown/Russet Bush Warbler,Locustella luteoventris/mandelli,,Grassbirds and Allies
y01001,Yellow-bellied/Ashy Prinia,Prinia flaviventris/socialis,,Cisticolas and Allies
y01002,Lesser/Greater Necklaced Laughingthrush,Garrulax monileger/Ianthocincla pectoralis,,Laughingthrushes and Allies
y01003,Muscicapa/Bradornis sp.,Muscicapa/Bradornis sp.,,Old World Flycatchers
y01004,Pied/Cyprus Wheatear,Oenanthe pleschanka/cypriaca,,Old World Flycatchers
y01005,Alpine/Himalayan Thrush,Zoothera mollissima/salimalii,,Thrushes
y01006,Alpine/Sichuan Thrush,Zoothera mollissima/griseiceps,,Thrushes
y01007,Bassian/Russet-tailed Thrush,Zoothera lunulata/heinei,,Thrushes
y01008,Olive/Karoo Thrush,Turdus olivaceus/smithi,,Thrushes
y01009,Purple/Green Cochoa,Cochoa purpurea/viridis,,Thrushes
y01010,Brown/Gray Trembler,Cinclocerthia ruficauda/gutturalis,,"Catbirds, Mockingbirds, and Thrashers"
y01011,Jungle/Crested Myna,Acridotheres fuscus/cristatellus,,Starlings and Mynas
y01012,Jerdon's/Golden-fronted Leafbird,Chloropsis jerdoni/aurifrons,,Leafbirds
y01013,Richard's/Blyth's Pipit,Anthus richardi/godlewskii,,Wagtails and Pipits
y01014,Black-throated Gray/Townsend's Warbler,Setophaga nigrescens/townsendi,,Wood-Warblers
y01015,Pallas's/Reed Bunting,Emberiza pallasi/schoeniclus,,Old World Buntings
y01016,Streaked/Great Rosefinch,Carpodacus rubicilloides/rubicilla,,"Finches, Euphonias, and Allies"
y01017,Italian/Spanish Sparrow,Passer italiae/hispaniolensis,,Old World Sparrows
y01018,Roll's/Sumatran Partridge,Arborophila rolli/sumatrana,,"Grouse, Quail, and Allies"
y01019,Australasian/Hoary-headed Grebe,Tachybaptus novaehollandiae/Poliocephalus poliocephalus,,Grebes
y01020,Great/Japanese Cormorant,Phalacrocorax carbo/capillatus,,Cormorants and Anhingas
y01021,Gray/Purple Heron,Ardea cinerea/purpurea,,"Herons, Ibis, and Allies"
y01022,Tawny/Steppe Eagle,Aquila rapax/nipalensis,,"Vultures, Hawks, and Allies"
y01023,Variable/Brown Goshawk,Accipiter hiogaster/fasciatus,,"Vultures, Hawks, and Allies"
y01024,Common/Long-legged Buzzard,Buteo buteo/rufinus,,"Vultures, Hawks, and Allies"
y01025,Rufous-sided/Red-and-white Crake,Laterallus melanophaius/leucopyrrhus,,"Rails, Gallinules, and Allies"
y01026,Spotted/Little/Baillon's Crake,Porzana porzana/Zapornia parva/pusilla,,"Rails, Gallinules, and Allies"
y01027,American/Black Oystercatcher,Haematopus palliatus/bachmani,,Shorebirds
y01028,Amboyna/Sultan's Cuckoo-Dove,Macropygia amboinensis/doreya,,Pigeons and Doves
y01029,Scarce/Schouteden's Swift,Schoutedenapus myoptilus/schoutedeni,,Swifts
y01030,Lucifer/Beautiful Hummingbird,Calothorax lucifer/pulcher,,Hummingbirds
y01032,Wreathed/Plain-pouched Hornbill,Rhyticeros undulatus/subruficollis,,Hornbills
y01033,Blue-capped/Lesson's Motmot,Momotus coeruliceps/lessonii,,Motmots
y01034,Streak-breasted/Laced Woodpecker,Picus viridanus/vittatus,,Woodpeckers
y01035,Rainbow/Scaly-breasted Lorikeet,Trichoglossus haematodus/chlorolepidotus,,"Parrots, Parakeets, and Allies"
y01036,White-crested/White-bellied Tyrannulet,Serpophaga subcristata/munda,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
y01037,Sulphur-rumped/Black-tailed Flycatcher,Myiobius sulphureipygius/atricaudus,,"Sharpbill, Royal Flycatcher, and Allies"
y01038,Whiskered/Black-tailed Flycatcher,Myiobius barbatus/atricaudus,,"Sharpbill, Royal Flycatcher, and Allies"
y01039,Masked/White-browed Woodswallow,Artamus personatus/superciliosus,,Woodswallows
y01040,Iberian Gray/Great Gray Shrike,Lanius meridionalis/excubitor,,Shrikes
y01041,Eurasian/African Golden Oriole,Oriolus oriolus/auratus,,Old World Orioles
y01042,Greater/Sykes's Short-toed Lark,Calandrella brachydactyla/dukhunensis,,Larks
y01043,Greater/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala rufescens,,Larks
y01044,Velvet-fronted/Yellow-billed Nuthatch,Sitta frontalis/solangiae,,Nuthatches
y01045,Willow Warbler/Common Chiffchaff/Iberian Chiffchaff,Phylloscopus trochilus/collybita/ibericus,,Leaf Warblers
y01046,Marsh/Eurasian Reed/African Reed Warbler,Acrocephalus palustris/scirpaceus/baeticatus,,Reed Warblers and Allies
y01047,Eurasian Reed/African Reed Warbler,Acrocephalus scirpaceus/baeticatus,,Reed Warblers and Allies
y01048,Lesser Whitethroat (Lesser/Desert),Sylvia curruca curruca/minula,,Sylviid Warblers
y01049,Lesser Whitethroat (Lesser/Desert/Hume's),Sylvia curruca curruca/minula/althaea,,Sylviid Warblers
y01050,Lesser Whitethroat (Desert/Gansu),Sylvia curruca minula/margelanica,,Sylviid Warblers
y01051,Pin-striped/Gray-faced Tit-Babbler,Mixornis gularis/kelleyi,,"Tree-Babblers, Scimitar-Babblers, and Allies"
y01052,Alpine/Himalayan/Sichuan Thrush,Zoothera mollissima/salimalii/griseiceps,,Thrushes
y01053,Gray-sided/Eyebrowed Thrush,Turdus feae/obscurus,,Thrushes
y01054,Greater/Lesser Green Leafbird,Chloropsis sonnerati/cyanopogon,,Leafbirds
y01055,Guira/Rufous-headed Tanager,Hemithraupis guira/ruficapilla,,Tanagers and Allies
y01056,Common Chaffinch/Brambling,Fringilla coelebs/montifringilla,,"Finches, Euphonias, and Allies"
y01057,Twite/Eurasian Linnet,Linaria flavirostris/cannabina,,"Finches, Euphonias, and Allies"
y01058,Red/Cassia Crossbill,Loxia curvirostra/sinesciuris,,"Finches, Euphonias, and Allies"
y01059,Citril Finch/European Serin,Carduelis citrinella/Serinus serinus,,"Finches, Euphonias, and Allies"
y01060,European/Fire-fronted/Syrian Serin,Serinus serinus/pusillus/syriacus,,"Finches, Euphonias, and Allies"
y01061,Alexandrine/Rose-ringed Parakeet,Psittacula eupatria/krameri,,"Parrots, Parakeets, and Allies"
y01062,Baglafecht/Bannerman's Weaver,Ploceus baglafecht/bannermani,,Weavers and Allies
y01063,Belford's/Yellow-browed Melidectes,Melidectes belfordi/rufocrissalis,,Honeyeaters
y01064,Black-and-yellow/Collared Grosbeak,Mycerobas icterioides/affinis,,"Finches, Euphonias, and Allies"
y01065,Black-bellied/River Tern,Sterna acuticauda/aurantia,,"Gulls, Terns, and Skimmers"
y01066,Rufous-naped/Rufous-vented Tit,Periparus rufonuchalis/rubidiventris,,"Tits, Chickadees, and Titmice"
y01067,Black-throated/White-throated Magpie-Jay,Calocitta colliei/formosa,,"Jays, Magpies, Crows, and Ravens"
y01068,Blue-black/Amazonian Grosbeak,Cyanoloxia cyanoides/rothschildii,,"Cardinals, Grosbeaks, and Allies"
y01069,Blue-throated/Tickell's Blue Flycatcher,Cyornis rubeculoides/tickelliae,,Old World Flycatchers
y01070,Clanga/Aquila sp.,Clanga/Aquila sp.,,"Vultures, Hawks, and Allies"
y01071,Common/Black Redstart,Phoenicurus phoenicurus/ochruros,,Old World Flycatchers
y01072,Common/Striated Babbler,Turdoides caudata/earlei,,Laughingthrushes and Allies
y01073,Crested Goshawk/Besra,Accipiter trivirgatus/virgatus,,"Vultures, Hawks, and Allies"
y01074,Curlew Sandpiper/Dunlin,Calidris ferruginea/alpina,,Shorebirds
y01075,Dark-rumped/Spot-winged Rosefinch,Carpodacus edwardsii/rodopeplus,,"Finches, Euphonias, and Allies"
y01076,Downy/Ladder-backed Woodpecker,Dryobates pubescens/scalaris,,Woodpeckers
y01077,Drab/Glossy Swiftlet,Collocalia neglecta/esculenta,,Swifts
y01078,Eurasian/Red Collared-Dove,Streptopelia decaocto/tranquebarica,,Pigeons and Doves
y01079,European/Indian Roller,Coracias garrulus/benghalensis,,"Bee-eaters, Rollers, and Allies"
y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica,,Waterfowl
y01081,Grasshopper/Baird's Sparrow,Ammodramus savannarum/Centronyx bairdii,,New World Sparrows
y01082,Grasshopper/Henslow's Sparrow,Ammodramus savannarum/Centronyx henslowii,,New World Sparrows
y01083,Grassland/Yellow-browed Sparrow,Ammodramus humeralis/aurifrons,,New World Sparrows
y01084,Gray-rumped/Ridgetop Swiftlet,Collocalia marginata/isonota,,Swifts
y01085,Gray-streaked/Dark-sided Flycatcher,Muscicapa griseisticta/sibirica,,Old World Flycatchers
y01086,Gray-throated Martin/Bank Swallow,Riparia chinensis/riparia,,Martins and Swallows
y01087,Greater/Lesser Coucal,Centropus sinensis/bengalensis,,Cuckoos
y01088,Greenish/Large-billed Leaf Warbler,Phylloscopus trochiloides/magnirostris,,Leaf Warblers
y01089,Guatemalan/Mistletoe Tyrannulet,Zimmerius vilissimus/parvus,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
y01090,Himalayan/Common Flameback,Dinopium shorii/javanense,,Woodpeckers
y01091,Large/Common Hawk-Cuckoo,Hierococcyx sparverioides/varius,,Cuckoos
y01092,Large/Hill Blue Flycatcher,Cyornis magnirostris/banyumas,,Old World Flycatchers
y01093,Lesser/Indian Cuckoo,Cuculus poliocephalus/micropterus,,Cuckoos
y01094,Lesser/Oriental Cuckoo,Cuculus poliocephalus/optatus,,Cuckoos
y01095,Lineated/Brown-headed Barbet,Psilopogon lineatus/zeylanicus,,Barbets and Toucans
y01096,Malabar/Common Woodshrike,Tephrodornis sylvicola/pondicerianus,,"Vangas, Helmetshrikes, and Allies"
y01097,Malabar/Oriental Pied-Hornbill,Anthracoceros coronatus/albirostris,,Hornbills
y01098,Mallard x Mexican/Mottled Duck (hybrid),Anas platyrhynchos x diazi/fulvigula,,Waterfowl
y01099,Mexican/Mottled Duck,Anas diazi/fulvigula,,Waterfowl
y01100,Middendorff's/Pleske's Grasshopper-Warbler,Locustella ochotensis/pleskei,,Grassbirds and Allies
y01101,Mountain/Common Chiffchaff,Phylloscopus sindianus/collybita,,Leaf Warblers
y01102,Nightingale Island/Wilkins's Finch,Nesospiza questi/wilkinsi,,Tanagers and Allies
y01103,Nilgiri/Verditer Flycatcher,Eumyias albicaudatus/thalassinus,,Old World Flycatchers
y01104,Oriental/Eurasian Magpie,Pica serica/pica,,"Jays, Magpies, Crows, and Ravens"
y01105,Indian/Swinhoe's White-eye,Zosterops palpebrosus/simplex,,"White-eyes, Yuhinas, and Allies"
y01106,Pale-billed/Nilgiri Flowerpecker,Dicaeum erythrorhynchos/concolor,,Flowerpeckers
y01107,Blue-faced/Papuan Parrotfinch,Erythrura trichroa/papuana,,Estrildids
y01108,Pink-browed/Himalayan White-browed Rosefinch,Carpodacus rodochroa/thura,,"Finches, Euphonias, and Allies"
y01109,Purple-backed/Variegated Fairywren,Malurus assimilis/lamberti,,Fairywrens
y01110,Red-billed/Coral-billed Scimitar-Babbler,Pomatorhinus ochraceiceps/ferruginosus,,"Tree-Babblers, Scimitar-Babblers, and Allies"
y01111,Red-footed/Amur Falcon,Falco vespertinus/amurensis,,Falcons and Caracaras
y01112,Rock/Hill Pigeon,Columba livia/rupestris,,Pigeons and Doves
y01113,Rufous-backed/Rio Madeira Stipplethroat,Epinecrophylla haematonota/amazonica,,Antbirds
y01114,Russet/Rufescent Antshrike,Thamnistes anabatinus/rufescens,,Antbirds
y01115,Ryukyu/Ashy Minivet,Pericrocotus tegimae/divaricatus,,Cuckooshrikes
y01116,Schrenck's/Cinnamon Bittern,Ixobrychus eurhythmus/cinnamomeus,,"Herons, Ibis, and Allies"
y01117,Shiny/Bronzed Cowbird,Molothrus bonariensis/aeneus,,Blackbirds
y01118,Singing/Indian Bushlark,Mirafra cantillans/erythroptera,,Larks
y01119,Streak-breasted/White-browed Scimitar-Babbler,Pomatorhinus ruficollis/schisticeps,,"Tree-Babblers, Scimitar-Babblers, and Allies"
y01120,Streaked/Black-breasted Weaver,Ploceus manyar/benghalensis,,Weavers and Allies
y01121,Striolated/Painted Manakin,Machaeropterus striolatus/eckelberryi,,Manakins
y01122,Tropical/Northern Mockingbird,Mimus gilvus/polyglottos,,"Catbirds, Mockingbirds, and Thrashers"
y01123,White-browed Bushchat/Siberian Stonechat,Saxicola insignis/maurus,,Old World Flycatchers
y01124,White-browed/Collared Bush-Robin,Tarsiger indicus/johnstoniae,,Old World Flycatchers
y01125,Wilson's/South American Snipe,Gallinago delicata/paraguaiae,,Shorebirds
y01126,Yellow-throated/Short-billed Chlorospingus,Chlorospingus flavigularis/parvirostris,,New World Sparrows
y01127,Zitting/Golden-headed Cisticola,Cisticola juncidis/exilis,,Cisticolas and Allies
y01128,Mallard/Pacific Black Duck,Anas platyrhynchos/superciliosa,,Waterfowl
y01129,Mallard/Hawaiian Duck,Anas platyrhynchos/wyvilliana,,Waterfowl
y01130,Mallard/Indian Spot-billed Duck,Anas platyrhynchos/poecilorhyncha,,Waterfowl
y01131,Mallard/Eastern Spot-billed Duck,Anas platyrhynchos/zonorhyncha,,Waterfowl
y01132,Fork-tailed/Violet-capped Woodnymph,Thalurania furcata/glaucopis,,Hummingbirds
y01133,Pied/Black Stilt,Himantopus leucocephalus/novaezelandiae,,Shorebirds
y01134,Arctic/Antarctic Tern,Sterna paradisaea/vittata,,"Gulls, Terns, and Skimmers"
y01135,Juan Fernandez/White-necked Petrel,Pterodroma externa/cervicalis,,"Petrels, Shearwaters, and Diving-Petrels"
y01136,Milky/Painted Stork,Mycteria cinerea/leucocephala,,Storks
y01137,Collared/Sunda Scops-Owl,Otus lettia/lempiji,,Owls
y01138,Ferruginous/Austral Pygmy-Owl,Glaucidium brasilianum/nana,,Owls
y01139,Spotted/Barred Owl,Strix occidentalis/varia,,Owls
y01140,White-barred/Ochre-collared Piculet,Picumnus cirratus/temminckii,,Woodpeckers
y01141,White-barred/White-wedged Piculet,Picumnus cirratus/albosquamatus,,Woodpeckers
y01142,Red-collared/Rainbow Lorikeet,Trichoglossus rubritorquis/moluccanus,,"Parrots, Parakeets, and Allies"
y01143,Plain-winged/Mouse-colored Antshrike,Thamnophilus schistaceus/murinus,,Antbirds
y01144,Ash-throated/Nutting's Flycatcher,Myiarchus cinerascens/nuttingi,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
y01145,Red-eyed/Yellow-green Vireo,Vireo olivaceus/flavoviridis,,Vireos
y01146,Red-eyed/Black-whiskered Vireo,Vireo olivaceus/altiloquus,,Vireos
y01147,Northern/Southern Variable Pitohui,Pitohui kirhocephalus/uropygialis,,Old World Orioles
y01148,Eurasian Blue/Azure Tit,Cyanistes caeruleus/cyanus,,"Tits, Chickadees, and Titmice"
y01149,Bridled/Juniper Titmouse,Baeolophus wollweberi/ridgwayi,,"Tits, Chickadees, and Titmice"
y01150,Green-backed/Hartert's Camaroptera,Camaroptera brachyura/harterti,,Cisticolas and Allies
y01151,Cream-eyed/Cream-vented Bulbul,Pycnonotus pseudosimplex/simplex,,Bulbuls
y01152,Sulphur-bellied/Tickell's Leaf Warbler,Phylloscopus griseolus/affinis,,Leaf Warblers
y01153,Mountain Tailorbird/Broad-billed Warbler,Phyllergates cucullatus/Tickellia hodgsoni,,Bush Warblers and Allies
y01154,Orange River/Cape White-eye,Zosterops pallidus/virens,,"White-eyes, Yuhinas, and Allies"
y01155,Hume's/Swinhoe's White-eye,Zosterops auriventer/simplex,,"White-eyes, Yuhinas, and Allies"
y01156,Guianan/Rio Negro Gnatcatcher,Polioptila guianensis/facilis,,Gnatcatchers
y01157,Inambari/Klage's Gnatcatcher,Polioptila attenboroughi/paraensis,,Gnatcatchers
y01158,Scaly-breasted/Pearly-eyed Thrasher,Allenia fusca/Margarops fuscatus,,"Catbirds, Mockingbirds, and Thrashers"
y01159,Pantepui/Campina Thrush,Turdus murinus/arthuri,,Thrushes
y01160,Black-billed/Campina Thrush,Turdus ignobilis/arthuri,,Thrushes
y01161,Himalayan/Chinese Shortwing,Brachypteryx cruralis/sinensis,,Old World Flycatchers
y01162,Pied/Black-eared Wheatear,Oenanthe pleschanka/hispanica,,Old World Flycatchers
y01163,Baya/Finn's Weaver,Ploceus philippinus/megarhynchus,,Weavers and Allies
y01164,Tricolored/Chestnut Munia,Lonchura malacca/atricapilla,,Estrildids
y01165,LeConte's/Nelson's Sparrow,Ammospiza leconteii/nelsoni,,New World Sparrows
y01166,Black-crowned/Gray-crowned Palm-Tanager,Phaenicophilus palmarum/poliocephalus,,Chat-Tanagers and Hispaniolan Tanagers
y01167,Yellow-headed/Oriente Warbler,Teretistris fernandinae/fornsi,,Cuban Warblers
y01168,Golden-fronted/Spectacled Redstart,Myioborus ornatus/melanocephalus,,Wood-Warblers
y01169,Red-capped/Crimson-fronted Cardinal,Paroaria gularis/baeri,,Tanagers and Allies
y01170,Rufous-headed/Yellow-backed Tanager,Hemithraupis ruficapilla/flavicollis,,Tanagers and Allies
y01171,Yellow-bellied/Dubois's Seedeater,Sporophila nigricollis/ardesiaca,,Tanagers and Allies
yaglor1,Yellow-and-green Lorikeet,Trichoglossus flavoviridis,,"Parrots, Parakeets, and Allies"
yaglor2,Yellow-and-green Lorikeet (Mustard-capped),Trichoglossus flavoviridis meyeri,Montane forests of Sulawesi,"Parrots, Parakeets, and Allies"
yaglor3,Yellow-and-green Lorikeet (Yellow-and-green),Trichoglossus flavoviridis flavoviridis,"Sula Islands (Taliabu, Seho and Mangole)","Parrots, Parakeets, and Allies"
yapant1,Yapacana Antbird,Aprositornis disjuncta,"Locally in e Colombia, sw Venezuela and nw Brazil (Amazonas)",Antbirds
yapmon1,Yap Monarch,Monarcha godeffroyi,Forests of Yap (nw Caroline Islands),Monarch Flycatchers
yapwhe1,Yap White-eye,Zosterops oleagineus,Forests of Yap (nw Caroline Is.),"White-eyes, Yuhinas, and Allies"
ybbwar1,Yellowish-bellied Bush Warbler,Horornis acanthizoides,,Bush Warblers and Allies
ybfdov1,Yellow-bibbed Fruit-Dove,Ptilinopus solomonensis,,Pigeons and Doves
ybfdov2,Yellow-breasted Fruit-Dove,Ptilinopus occipitalis,,Pigeons and Doves
ybsvir1,Yellow-browed Shrike-Vireo,Vireolanius eximius,,Vireos
ybtfly1,Yellow-browed Tody-Flycatcher,Todirostrum chrysocrotaphum,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
ybttyr1,Yellow-billed Tit-Tyrant,Anairetes flavirostris,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
ybweye1,Yellow-bellied Wattle-eye,Platysteira concreta,,Wattle-eyes and Batises
ycnher,Yellow-crowned Night-Heron,Nyctanassa violacea,,"Herons, Ibis, and Allies"
ycppar1,Yellow-capped Pygmy-Parrot,Micropsitta keiensis,,"Parrots, Parakeets, and Allies"
yebant1,Yellow-breasted Antpitta,Grallaria flavotincta,W slope of Western Andes of Colombia and nw Ecuador,Gnateaters and Antpittas
yebant2,Yellow-breasted Antwren,Herpsilochmus axillaris,,Antbirds
yebant3,Yellow-browed Antbird,Hypocnemis hypoxantha,,Antbirds
yebapa1,Yellow-breasted Apalis,Apalis flavida,,Cisticolas and Allies
yebapa2,Yellow-breasted Apalis (Brown-tailed),Apalis flavida flavocincta/viridiceps,,Cisticolas and Allies
yebapa3,Yellow-breasted Apalis (Yellow-breasted),Apalis flavida [flavida Group],,Cisticolas and Allies
yebasi1,Yellow-bellied Sunbird-Asity,Neodrepanis hypoxantha,Rain forests of e-c Madagascar,Asities
yebbab1,Yellow-billed Babbler,Turdoides affinis,,Laughingthrushes and Allies
yebbar1,Yellow-billed Barbet,Trachyphonus purpuratus,,Barbets and Toucans
yebbar2,Yellow-breasted Barbet,Trachyphonus margaritatus,,Barbets and Toucans
yebbar3,Yellow-billed Barbet (Western),Trachyphonus purpuratus goffinii,Sierra Leone east to Ghana/Togo border,Barbets and Toucans
yebbar4,Yellow-billed Barbet (Togo),Trachyphonus purpuratus togoensis,Extreme e Ghana to sw Nigeria,Barbets and Toucans
yebbar5,Yellow-billed Barbet (Eastern),Trachyphonus purpuratus purpuratus/elgonensis,,Barbets and Toucans
yebboa1,Yellow-breasted Boatbill,Machaerirhynchus flaviventer,,Boatbills
yebbou1,Yellow-breasted Boubou,Laniarius atroflavus,Highlands of se Nigeria and w Cameroon,Bushshrikes and Allies
yebbow1,Yellow-breasted Bowerbird,Chlamydera lauterbachi,,Scrub-birds and Bowerbirds
yebbrf1,Yellow-breasted Brushfinch,Atlapetes latinuchus,,New World Sparrows
yebbru1,Yellow-breasted Brushfinch (nigrifrons),Atlapetes latinuchus nigrifrons,Mts. of ne Colombia and western Venezuela (Perijá Mts.),New World Sparrows
yebbru2,Yellow-breasted Brushfinch (Yellow-breasted),Atlapetes latinuchus [latinuchus Group],,New World Sparrows
yebbul2,Yellow-bellied Bulbul,Alophoixus phaeocephalus,,Bulbuls
yebbul3,Yellow-browed Bulbul,Iole indica,,Bulbuls
yebbun,Yellow-breasted Bunting,Emberiza aureola,,Old World Buntings
yebbun1,Yellow-browed Bunting,Emberiza chrysophrys,Taiga of central Siberia; > in central and se China,Old World Buntings
yebbuw2,Hume's Bush Warbler,Horornis brunnescens,"Himalayas of northern India, Nepal, Bhutan, and southeastern Tibet",Bush Warblers and Allies
yebcac1,Yellow-billed Cacique,Amblycercus holosericeus,,Blackbirds
yebcac2,Yellow-billed Cacique (Prevost's),Amblycercus holosericeus holosericeus/flavirostris,,Blackbirds
yebcac3,Yellow-billed Cacique (Chapman's),Amblycercus holosericeus australis,"Colombia to nw Venezuela, e Peru and nw Bolivia",Blackbirds
yebcam1,Yellow-browed Camaroptera,Camaroptera superciliaris,"Guinea and Sierra Leone to Democratic Republic of the Congo, Uganda and nw Angola",Cisticolas and Allies
yebcar,Yellow-billed Cardinal,Paroaria capitata,,Tanagers and Allies
yebcha,Yellow-breasted Chat,Icteria virens,,Yellow-breasted Chat
yebcha1,Yellow-breasted Chat (virens),Icteria virens virens,N-central and e US to Florida; winters to Panama,Yellow-breasted Chat
yebcha2,Yellow-breasted Chat (auricollis),Icteria virens auricollis,S British Columbia to Baja and n Mexico; winters to Guatemala,Yellow-breasted Chat
yebcho1,Yellow-billed Chough,Pyrrhocorax graculus,,"Jays, Magpies, Crows, and Ravens"
yebcht1,Yellow-bellied Chat-Tyrant,Ochthoeca diadema,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
yebcot1,Yellow-billed Cotinga,Carpodectes antoniae,Pacific lowlands of sw Costa Rica and extreme w Panama,Cotingas
yebcra1,Yellow-breasted Crake,Hapalocrex flaviventer,,"Rails, Gallinules, and Allies"
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,Canada to Mexico and West Indies; winters to n Argentina,Cuckoos
yebdac1,Yellow-bellied Dacnis,Dacnis flaviventer,"SE Colombia to s Venezuela, n Bolivia and w Amaz. Brazil",Tanagers and Allies
yebduc1,Yellow-billed Duck,Anas undulata,,Waterfowl
yebela1,Yellow-bellied Elaenia,Elaenia flavogaster,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
